OsID,OsGene
LOC_Os11g31380,ONAC129 
LOC_Os12g03040,ONAC131 
LOC_Os12g03050,ONAC300 
LOC_Os03g08360,ONI1 
LOC_Os10g28060,ONI2 
LOC_Os09g19930,ONI3 
LOC_Os02g35310,OPR8 
LOC_Os03g54000,OPT|OsOPT7 
LOC_Os08g07890,ORK1 
LOC_Os07g26940,ORMDL 
LOC_Os03g01650,Orys1 
LOC_Os03g01740,Orysa; 
LOC_Os06g05660,Orysa;NAP1;1|OsNAP1_L1 
LOC_Os05g46230,Orysa;NAP1;2|OsNAP1_L2 
LOC_Os01g51450,Orysa;NAP1;3|OsNAP1_L3 
LOC_Os05g49200,Oryzasin 
LOC_Os11g20310,Os11Gsk 
LOC_Os11g31190,Os11N3|OsSWEET14 
LOC_Os01g67220,Os1BGlu4 
LOC_Os03g11420,Os3BGlu6 
LOC_Os03g49600,Os3BGlu7 
LOC_Os03g49610,Os3BGlu8 
LOC_Os04g39880,Os4BGlu12 
LOC_Os08g14760,Os4CL1 
LOC_Os02g46970,Os4CL2 
LOC_Os02g08100,Os4CL3 
LOC_Os06g44620,Os4CL4 
LOC_Os08g34790,Os4CL5 
LOC_Os04g41340,Os4NPP1 
LOC_Os06g02144,Os6PGDH 
LOC_Os11g29400,Os6PGDH2 
LOC_Os01g32364,Os7BGlu26 
LOC_Os08g42350,Os8N3|xa13 
LOC_Os09g33680,Os9BGlu31 
LOC_Os03g01120,OsA8 
LOC_Os04g58710,OsAAE3 
LOC_Os07g07050,OsAAO 
LOC_Os01g65670,OsAAP6|qPC1 
LOC_Os01g45910,OsAAT 
LOC_Os04g37619,OsABA1|OSZEP1 
LOC_Os03g59610,OsABA2 
LOC_Os12g29400,OsABA45 
LOC_Os02g47470,OsABA8ox1 
LOC_Os08g36860,OsABA8ox2 
LOC_Os09g28390,OsABA8ox3 
LOC_Os02g36570,OsABC1-2 
LOC_Os04g38570,OsABCB14 
LOC_Os04g52900,OsABCC1|MRP1 
LOC_Os06g40550,OsABCG15 
