OsID,OsGene
LOC_Os02g21510,ROX2
LOC_Os02g21890,FOS1
LOC_Os02g22020,NIGT1
LOC_Os02g22130,OsGAP1
LOC_Os02g22380,OsGT61-1|XAX1
LOC_Os02g24080,OsSNAP32
LOC_Os02g25230,TAC4
LOC_Os02g26160,OsLecRK-S.7|OsLecRK5|OsDAF1
LOC_Os02g26430,OsWRKY42|WRKY42
LOC_Os02g26480,OsIAA-At
LOC_Os02g26700,OsARP|OsCTP
LOC_Os02g27360,OsAP19
LOC_Os02g27620,D50
LOC_Os02g28110,ODCb
LOC_Os02g28170,OsMaT-2
LOC_Os02g28220,OsMaT-1
LOC_Os02g28340,OsMaT-3
LOC_Os02g28870,OsPUB73
LOC_Os02g28970,OsMTR1
LOC_Os02g28980,rFKBP75
LOC_Os02g29150,OsRALyase
LOC_Os02g30230,OsExo70-F2
LOC_Os02g30630,OsALS
LOC_Os02g30850,OsGRX8
LOC_Os02g30900,OsPBL1
LOC_Os02g30910,OsSWEET15
LOC_Os02g31030,OsGDPD2
LOC_Os02g31140,CFL1
LOC_Os02g31290,LARGE1|OML4
LOC_Os02g32160,OsBON1
LOC_Os02g32350,OsTudor-SN
LOC_Os02g32370,OsIPK2|IPK2|IP6K
LOC_Os02g32520,OsClpD1
LOC_Os02g32590,OsHSFA3
LOC_Os02g32610,OsCTR2
LOC_Os02g32660,OsBEIIb
LOC_Os02g32690,OsPDR2
LOC_Os02g32730,OsNIN3
LOC_Os02g32950,RCN2
LOC_Os02g32980,OsGLP2-1
LOC_Os02g33110,OsCIN1
LOC_Os02g33180,OsRAR1
LOC_Os02g33330,ACL2
LOC_Os02g33430,OsE2F1
LOC_Os02g33450,BAS1|OsTPX|OsPRX2
LOC_Os02g33500,LAS
LOC_Os02g33610,GRY79
LOC_Os02g33820,Asr3|OsASR3
LOC_Os02g34320,OsZOU-2
LOC_Os02g34500,DMD1
LOC_Os02g34560,OsCYT-INV1|SRT5
LOC_Os02g34600,SAPK6|OSRK1
LOC_Os02g34790,XIK1
LOC_Os02g34810,OsAPx8
LOC_Os02g34850,SDG725
LOC_Os02g34884,GH1
LOC_Os02g35180,OsRR2
LOC_Os02g35190,OsCLC-2
LOC_Os02g35310,OPR8
LOC_Os02g35329,EL5
LOC_Os02g35450,XRCC3
LOC_Os02g35500,OsGLYR1
LOC_Os02g35970,CPT1
LOC_Os02g36070,CYP76M8
LOC_Os02g36110,CYP76M7
LOC_Os02g36140,OsDTC1|OsKS3
LOC_Os02g36210,OsCPS2|OsCyc2
LOC_Os02g36220,OsKSL5
LOC_Os02g36280,CYP76M6
LOC_Os02g36380,OsCRY1a
LOC_Os02g36570,OsABC1-2
LOC_Os02g36700,OsSUT5|OsSUT5Z
LOC_Os02g36710,OsNAPL6
LOC_Os02g36880,OMTN1
LOC_Os02g36924,OsMADS27
LOC_Os02g36974,OsGF14e|GF14e|GID2
LOC_Os02g37850,OsOSD1
